City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
347,sinabang,2.4803,96.3801,26.77,77,97,4.91,ID,1696294530
348,magadan,59.5667,150.8,10.85,77,35,3.13,RU,1696294531
349,quatre cocos,-20.2078,57.7625,21.72,81,0,1.45,MU,1696294531
350,ambon,-3.6954,128.1814,29.95,100,40,2.06,ID,1696294531
351,pyrgos,37.6751,21.441,21.11,60,2,0.89,GR,1696294532
352,oqtosh,39.9214,65.9253,13.43,29,0,2.58,UZ,1696294532
353,kill devil hills,36.0307,-75.676,21.66,88,0,5.14,US,1696294296
354,aban,56.67,96.06,0.57,95,100,3.26,RU,1696294533
355,yakeshi,49.2833,120.7333,10.96,50,100,4.08,CN,1696294533
356,ulladulla,-35.35,150.4667,31.54,30,93,4.52,AU,1696294533
357,klyuchi,52.2667,79.1667,3.23,56,15,3.48,RU,1696294534
358,port saint john's,-31.6229,29.5448,18.32,66,0,5.13,ZA,1696294534
359,othello,46.826,-119.1753,20.19,43,100,2.94,US,1696294534
360,mezhdurechensk,53.6942,88.0603,1.37,85,6,0.98,RU,1696294535
361,al hazm,16.1641,44.7769,22.44,19,0,0.77,YE,1696294535
362,camapua,-19.5314,-54.0439,28.7,52,10,1.86,BR,1696294535
